instance;cp_solver;cp_strategy;fzn_optimisation_level;threads;cores;cp_timeout_sec;cp_model;exhaustive;hypervolume;datetime;cp_solutions;cp_total_nodes;time_cp_sec;time_fzn_sec;cp_solutions_list;pareto_front
rio_de_janeiro_30;gecode;greedy;1;256;128;3600;mosaic_cloud3;True;0.0;2023-05-02 13:55:20.967042;1;134;6.079154000000001;2.67209;[1.855744];{[2636926.61444995, 10025394.0, 119.15, 31.4409319951859]}
tokyo_bay_30;gecode;greedy;1;256;128;3600;mosaic_cloud3;True;0.0;2023-05-02 13:55:20.965290;1;99;6.30685;2.1746999999999996;[3.895047];{[147587067.581034, 10429262.0, 93.0500000000008, 37.1643778116026]}
paris_30;gecode;greedy;1;256;128;3600;mosaic_cloud3;True;0.0;2023-05-02 13:55:20.970519;1;14;6.460038;4.134;[2.734743];{[9935.7362544522, 11392990.0, 157.540000000001, 38.866130687763]}
tokyo_bay_50;gecode;greedy;1;256;128;3600;mosaic_cloud3;True;0.0;2023-05-02 13:55:20.982300;1;15;14.388110999999999;11.01878;[6.577068];{[-0.0, 17586590.0, 265.100000000006, 32.8621066720192]}
paris_50;gecode;greedy;1;256;128;3600;mosaic_cloud3;True;0.0;2023-05-02 13:55:20.984132;1;29077;26.643085;9.535540000000001;[6.097548];{[5322795.52306228, 19696966.0, 302.190000000005, 44.1186591312067]}
paris_30;gecode;free_search;1;256;128;3600;mosaic_cloud2;True;1.947456908110183e+20;2023-05-02 13:55:20.970417;105;21425;264.56455300000005;206.89469799999992;[2.615899, 5.082806, 7.559189999999999, 10.005925999999999, 12.507883, 14.933584, 17.42527, 19.891211000000002, 22.328967000000002, 24.809952000000003, 27.286318, 29.731542, 32.200503, 34.672191, 37.101299999999995, 39.574701, 42.029106, 44.529044999999996, 46.964057, 49.509702, 52.003425, 54.527471, 56.996358, 59.712414, 62.208780000000004, 64.658034, 67.143383, 69.579947, 72.034737, 74.52607900000001, 77.02492600000001, 79.52428800000001, 81.99486500000002, 84.47634700000002, 86.94081100000002, 89.41577100000002, 91.83961200000002, 94.31679000000001, 96.811271, 99.287694, 101.784783, 104.261903, 106.75111100000001, 109.20499900000002, 111.68542100000002, 114.20746200000002, 116.66897000000002, 119.15670400000002, 121.58943800000002, 124.00963200000001, 126.49093200000002, 128.94149800000002, 131.380759, 133.878159, 136.344052, 138.784031, 141.21838, 143.673248, 146.115086, 148.549779, 151.013687, 153.51567400000002, 156.022184, 158.47638500000002, 160.96555600000002, 163.447707, 165.940637, 168.39703500000002, 170.92338800000002, 173.37723000000003, 175.83437100000003, 178.31507300000004, 180.85609700000003, 183.37172800000005, 185.94297500000005, 188.52975200000006, 191.10926900000007, 193.72606900000008, 196.30917000000008, 198.90032500000007, 201.44297400000008, 204.0064820000001, 206.5539370000001, 209.0135450000001, 211.46008000000012, 213.9307130000001, 216.3823300000001, 218.8188560000001, 221.2662090000001, 223.7204440000001, 226.1750730000001, 228.7120100000001, 231.1435420000001, 233.6533390000001, 236.1897400000001, 238.7971820000001, 241.30932400000012, 243.8916410000001, 246.38920500000012, 248.9157290000001, 251.4285290000001, 253.9940010000001, 256.4763910000001, 259.1044350000001, 261.6548700000001];{[19857673.5659852, 3119540.0, 180.7, 28.8979332731416],[19857673.5659852, 3240140.0, 179.9, 28.8979332731416],[11352.6264680092, 3707816.0, 170.619999999999, 28.8979332731416],[19856256.6757716, 3336854.0, 179.5, 28.8979332731416],[19856256.6757716, 3457454.0, 178.7, 28.8979332731416],[11352.6264680092, 3828416.0, 169.819999999999, 28.8979332731416],[9935.7362544522, 3925130.0, 169.419999999999, 28.8979332731416],[19857673.5659852, 3574940.0, 170.299999999999, 28.8979332731416],[9935.7362544522, 4045730.0, 168.619999999999, 28.8979332731416],[19857673.5659852, 3495740.0, 171.299999999999, 28.8979332731416],[19857673.5659852, 3695540.0, 169.499999999999, 28.8979332731416],[11352.6264680092, 4084016.0, 165.899999999999, 28.8979332731416],[19857673.5659852, 2669540.0, 237.5, 28.8979332731416],[19856256.6757716, 3792254.0, 169.099999999999, 28.8979332731416],[19857673.5659852, 2790140.0, 236.7, 28.8979332731416],[9935.7362544522, 4301330.0, 164.699999999999, 28.8979332731416],[19856256.6757716, 2886854.0, 236.3, 28.8979332731416],[9935.7362544522, 4421930.0, 163.899999999999, 28.8979332731416],[19856256.6757716, 3007454.0, 235.5, 28.8979332731416],[11352.6264680092, 3422840.0, 174.959999999999, 29.5219052252554],[9935.7362544522, 3640154.0, 173.759999999999, 29.5219052252554],[19856256.6757716, 3912854.0, 168.299999999999, 28.8979332731416],[19857673.5659852, 3042140.0, 219.899999999999, 28.8979332731416],[9935.7362544522, 3760754.0, 172.959999999999, 29.5219052252554],[19857673.5659852, 3043940.0, 213.499999999998, 28.8979332731416],[11352.6264680092, 3799040.0, 165.559999999999, 29.5219052252554],[19857673.5659852, 3045740.0, 205.299999999999, 28.8979332731416],[11352.6264680092, 3919640.0, 164.759999999998, 29.5219052252554],[9935.7362544522, 4016354.0, 164.359999999998, 29.5219052252554],[9935.7362544522, 4136954.0, 163.559999999998, 29.5219052252554],[11352.6264680092, 4294040.0, 162.959999999998, 29.5219052252554],[9935.7362544522, 4390754.0, 162.559999999998, 29.5219052252554],[11352.6264680092, 4507916.0, 161.599999999998, 29.5219052252554],[9935.7362544522, 4511354.0, 161.759999999998, 29.5219052252554],[9935.7362544522, 4725230.0, 160.399999999998, 29.5219052252554],[19857673.5659852, 3951140.0, 167.499999999999, 28.8979332731416],[11352.6264680092, 3257816.0, 192.859999999999, 28.8979332731416],[9935.7362544522, 5429030.0, 158.919999999998, 29.5219052252554],[11352.6264680092, 4283816.0, 164.639999999999, 28.8979332731416],[19857673.5659852, 4071740.0, 166.699999999999, 28.8979332731416],[9935.7362544522, 4756730.0, 162.699999999999, 28.8979332731416],[9935.7362544522, 3475130.0, 191.659999999999, 28.8979332731416],[9935.7362544522, 4966754.0, 159.499999999998, 29.5219052252554],[11352.6264680092, 2972840.0, 211.599999999999, 29.5219052252554],[11352.6264680092, 3093440.0, 210.799999999999, 29.5219052252554],[9935.7362544522, 3595730.0, 190.859999999999, 28.8979332731416],[19857673.5659852, 3054740.0, 199.1, 28.8979332731416],[9935.7362544522, 3190154.0, 210.4, 29.5219052252554],[9935.7362544522, 3310754.0, 209.599999999999, 29.5219052252554],[9935.7362544522, 4877330.0, 161.899999999998, 28.8979332731416],[11352.6264680092, 3349040.0, 184.359999999998, 29.5219052252554],[9935.7362544522, 3566354.0, 183.159999999998, 29.5219052252554],[11352.6264680092, 3370640.0, 183.659999999999, 29.5219052252554],[9935.7362544522, 5251730.0, 160.819999999998, 28.8979332731416],[9935.7362544522, 3587954.0, 182.459999999999, 29.5219052252554],[9935.7362544522, 5884430.0, 157.619999999998, 29.5219052252554],[11352.6264680092, 3630416.0, 188.219999999998, 28.8979332731416],[9935.7362544522, 3847730.0, 187.019999999998, 28.8979332731416],[11352.6264680092, 3632216.0, 185.059999999998, 28.8979332731416],[9935.7362544522, 3849530.0, 183.859999999998, 28.8979332731416],[11352.6264680092, 3634016.0, 177.339999999998, 28.8979332731416],[9935.7362544522, 3851330.0, 176.139999999998, 28.8979332731416],[11352.6264680092, 3655616.0, 173.579999999999, 28.8979332731416],[9935.7362544522, 3872930.0, 172.379999999999, 28.8979332731416],[11352.6264680092, 4044416.0, 168.879999999998, 28.8979332731416],[9935.7362544522, 4261730.0, 167.679999999998, 28.8979332731416]}
mexico_city_30;gecode;greedy;1;256;128;3600;mosaic_cloud3;True;0.0;2023-05-02 13:55:20.965105;1;17052483;1386.312507;2.62244;[1.950024];{[7839008.79694139, 9490532.0, 102.5, 27.870156327169]}
lagos_nigeria_30;gecode;greedy;1;256;128;3600;mosaic_cloud3;False;0.0;2023-05-02 13:55:20.970201;1;5027164;3600.836267;3.78841;[2.607879];{[53475064.8976051, 10948970.0, 142.3, 47.9266541385904]}
rio_de_janeiro_50;gecode;free_search;1;256;128;3600;mosaic_cloud2;False;3.9303986880996075e+20;2023-05-02 13:55:21.008696;281;72405;3600.7249759999995;2793.1654600000006;[15.347387, 29.971669, 44.748292, 56.552535, 69.760623, 81.223485, 97.055154, 110.83131900000001, 122.509279, 135.828679, 147.799434, 160.088405, 173.883909, 185.69091899999998, 199.11863999999997, 212.96449599999997, 226.13535099999996, 237.49696599999996, 251.86903499999997, 263.49747799999994, 276.39813399999997, 288.01888199999996, 299.50113899999997, 313.397139, 325.15023099999996, 338.57145399999996, 350.66421899999995, 362.49023399999993, 375.4961789999999, 389.72316299999994, 403.32335699999993, 416.3118819999999, 430.45754199999993, 444.7007899999999, 459.46571299999994, 475.70403099999993, 491.91518199999996, 510.66587899999996, 524.041039, 535.952648, 549.7747439999999, 561.82759, 575.197421, 586.869278, 600.291827, 613.557736, 627.3082479999999, 639.883163, 654.198163, 666.059327, 679.8614130000001, 692.7905680000001, 706.3300370000002, 718.3917750000002, 732.2376050000001, 743.9916120000001, 758.1319010000002, 771.9886290000002, 783.8514850000001, 797.1370980000002, 809.0102910000002, 822.3300010000002, 834.0127080000002, 846.9172790000002, 860.5133220000002, 872.3551490000002, 885.2607480000003, 899.1407200000002, 910.9089270000002, 922.6649630000002, 934.4147860000002, 946.3165100000001, 958.1806190000001, 970.1295700000001, 981.7851400000001, 993.49315, 1007.23871, 1018.955252, 1031.633897, 1045.500853, 1057.100825, 1068.631875, 1080.378257, 1091.839075, 1106.7653830000002, 1120.2325220000002, 1132.7316600000001, 1146.7594470000001, 1158.4091560000002, 1172.4645750000002, 1184.2635260000002, 1196.199532, 1207.9420710000002, 1219.4972220000002, 1231.2765850000003, 1242.9372400000002, 1256.0921600000001, 1269.4032430000002, 1281.2500190000003, 1294.0783760000004, 1305.5346020000004, 1318.2561040000005, 1329.8748960000005, 1343.5577920000005, 1355.3507910000005, 1369.3089160000006, 1381.4957450000006, 1393.1255680000006, 1406.9971360000006, 1418.8719930000007, 1430.5196010000006, 1444.5364960000006, 1456.3387890000006, 1470.6028210000006, 1482.4336200000007, 1495.5221210000007, 1507.2453950000006, 1520.5926200000006, 1532.4729720000005, 1544.7085700000005, 1558.0843480000005, 1571.3326960000006, 1585.8799630000005, 1600.1021510000005, 1612.1007430000004, 1624.1376260000004, 1635.7438340000003, 1650.3547950000004, 1662.5109100000004, 1674.2453480000004, 1687.6980810000005, 1699.4350960000004, 1712.9117260000003, 1725.9857100000004, 1737.6999650000005, 1750.8907630000006, 1764.2683340000006, 1776.2303330000007, 1787.9627460000006, 1799.4121830000006, 1812.6989870000007, 1824.7811200000008, 1839.5568700000008, 1851.2346330000007, 1862.8054760000007, 1874.5284330000006, 1888.8242720000007, 1902.7450560000007, 1915.8818140000008, 1927.3978250000007, 1940.6476460000008, 1954.221499000001, 1966.561062000001, 1978.106041000001, 1991.5784170000009, 2003.882092000001, 2015.905063000001, 2027.704777000001, 2041.084726000001, 2053.604143000001, 2067.294370000001, 2078.875145000001, 2090.534054000001, 2102.471990000001, 2114.0962950000007, 2127.8703190000006, 2140.3772910000007, 2152.0638760000006, 2163.5836070000005, 2175.1002640000006, 2187.2443920000005, 2199.0880570000004, 2211.3060280000004, 2223.3644330000006, 2234.9442230000004, 2246.6007440000003, 2259.6218890000005, 2273.5286480000004, 2287.1471250000004, 2298.8472600000005, 2312.7471400000004, 2325.4264140000005, 2339.0833130000005, 2350.7287400000005, 2365.3566290000003, 2378.237993, 2390.189139, 2401.7369750000003, 2414.197317, 2425.917534, 2437.762297, 2451.1282840000003, 2464.6196410000002, 2478.008553, 2491.472924, 2503.8925510000004, 2515.5750740000003, 2527.8528920000003, 2541.2297020000005, 2554.3117190000007, 2567.8965250000006, 2579.5092630000004, 2591.1704930000005, 2605.4247580000006, 2618.3130560000004, 2632.2701480000005, 2644.0318050000005, 2655.7351860000003, 2667.4637180000004, 2679.0987250000003, 2690.651928, 2702.351584, 2715.545319, 2729.9038069999997, 2742.3571389999997, 2754.1789679999997, 2766.0052709999995, 2779.6563279999996, 2793.4616109999997, 2807.2611989999996, 2819.9722569999994, 2834.2890559999996, 2847.7794149999995, 2860.1319109999995, 2871.9547189999994, 2883.719981999999, 2895.8454459999994, 2909.5559669999993, 2921.5408899999993, 2935.136405999999, 2948.684708999999, 2960.928209999999, 2975.5700819999993, 2987.389805999999, 3001.0723669999993, 3013.0388469999994, 3025.1433339999994, 3037.0984929999995, 3049.1132129999996, 3063.3276749999995, 3075.6920969999996, 3087.8954429999994, 3102.1342549999995, 3116.4617709999993, 3128.1147789999995, 3140.2576329999997, 3152.128457, 3164.312715, 3176.43815, 3189.038795, 3201.045143, 3213.5032109999997, 3226.4393119999995, 3238.6065049999997, 3250.7533919999996, 3264.8924629999997, 3276.7969339999995, 3288.8270569999995, 3300.8137719999995, 3314.5766379999995, 3326.5469879999996, 3338.5149829999996, 3351.9710279999995, 3365.7469919999994, 3380.2179829999995, 3394.1621869999994, 3406.0983299999994, 3418.0170109999995, 3432.6300249999995, 3446.6985379999996, 3460.0162579999997, 3472.1607059999997, 3485.7403819999995, 3499.5549239999996, 3513.6394979999995, 3528.2387949999998, 3542.511475, 3554.509358, 3567.5660869999997, 3581.7442949999995, 3595.9220299999997];{[46857312.4139586, 4117806.0, 390.319999999983, 32.9236824914104],[198023381.83458, 3327570.0, 549.799999999991, 31.543392107332],[480064357.342902, 3873780.0, 427.399999999985, 32.9236824914104],[44865505.4306217, 4120716.0, 390.319999999983, 32.9236824914104],[6727060.58121232, 4126386.0, 390.319999999983, 32.9236824914104],[484176797.945588, 3254580.0, 549.799999999991, 20.4225695469514],[4735253.59787548, 4129296.0, 390.319999999983, 32.9236824914104],[2389045.01386061, 4212666.0, 390.319999999983, 32.9236824914104],[6598124.62593819, 4127746.0, 390.319999999983, 32.9236824914104],[4606317.64260136, 4130656.0, 390.319999999983, 32.9236824914104],[481830589.361572, 3337950.0, 549.799999999991, 20.4225695469514],[2260109.05858648, 4214026.0, 390.319999999983, 32.9236824914104],[50969753.0166436, 3498606.0, 502.63999999999, 20.4225695469514],[478072550.359566, 3876690.0, 427.399999999985, 32.9236824914104],[44653722.5338791, 4265406.0, 389.919999999983, 32.9236824914104],[48977946.0333068, 3501516.0, 502.63999999999, 26.1011103124677],[444046546.112841, 3263160.0, 549.799999999991, 21.4640224107896],[4523470.70113281, 4273986.0, 389.919999999983, 32.9236824914104],[2177262.11711793, 4357356.0, 389.919999999983, 32.9236824914104],[482184990.962251, 3257490.0, 549.799999999994, 26.1011103124677],[4394534.74585868, 4275346.0, 389.919999999985, 32.9236824914104],[2048326.16184381, 4358716.0, 389.919999999983, 32.9236824914104],[439934105.510157, 3882360.0, 427.399999999985, 32.9236824914104],[46670190.5820806, 4018206.0, 392.519999999984, 32.9236824914104],[46383200.8385145, 4002006.0, 399.679999999974, 32.9823188714005],[10839501.1838974, 3507186.0, 502.63999999999, 21.4640224107896],[437942298.52682, 3885270.0, 427.399999999985, 32.9236824914104],[435596089.942805, 3968640.0, 427.399999999985, 32.9236824914104],[44678383.5987438, 4021116.0, 392.519999999984, 32.9236824914104],[6539938.74933432, 4026786.0, 392.519999999984, 32.9236824914104],[439920237.483515, 3883720.0, 427.399999999985, 32.9236824914104],[4548131.76599748, 4029696.0, 392.519999999984, 32.9236824914104],[2201923.1819826, 4113066.0, 392.519999999984, 32.9236824914104],[6411002.79406019, 4028146.0, 392.519999999984, 32.9236824914104],[437928430.500179, 3886630.0, 427.399999999985, 32.9236824914104],[435582221.916164, 3970000.0, 427.399999999985, 32.9236824914104],[4419195.81072336, 4031056.0, 392.519999999984, 32.9236824914104],[2072987.22670848, 4114426.0, 392.519999999984, 32.9236824914104],[44391393.8551776, 4004916.0, 399.679999999974, 32.9823188714005],[3973288.22028938, 4141066.0, 390.319999999983, 32.9236824914104],[437180333.149234, 3897040.0, 427.399999999985, 32.9236824914104],[8304283.37828662, 3508546.0, 502.63999999999, 20.4225695469514],[5958074.79427175, 3591916.0, 502.63999999999, 20.4225695469514],[482594084.944446, 3271010.0, 549.799999999991, 20.4225695469514],[6312476.39494979, 3511456.0, 502.63999999999, 26.1011103124677],[1627079.6362745, 4224436.0, 390.319999999983, 32.9236824914104],[3966267.81093491, 3594826.0, 502.63999999999, 26.1011103124677],[3844352.26501525, 4142426.0, 390.319999999983, 32.9236824914104],[1498143.68100038, 4225796.0, 390.319999999983, 32.9236824914104],[3757050.33179157, 4167106.0, 390.319999999983, 32.9236824914104],[1410841.7477767, 4250476.0, 390.319999999983, 32.9236824914104],[6252949.00576821, 4010586.0, 399.679999999974, 32.9823188714005],[3761505.3235467, 4285756.0, 389.919999999983, 32.9236824914104],[1415296.73953183, 4369126.0, 389.919999999983, 32.9236824914104],[3936894.82947774, 3611256.0, 502.63999999999, 26.1011103124677],[3632569.36827258, 4287116.0, 389.919999999983, 32.9236824914104],[1286360.7842577, 4370486.0, 389.919999999983, 32.9236824914104],[3545267.4350489, 4311796.0, 389.919999999983, 32.9236824914104],[480247876.360431, 3354380.0, 549.799999999991, 20.4225695469514],[1199058.85103402, 4395166.0, 389.919999999983, 32.9236824914104],[3809996.00729058, 4041466.0, 392.519999999984, 32.9236824914104],[1463787.42327571, 4124836.0, 392.519999999984, 32.9236824914104],[3681060.05201646, 4042826.0, 392.519999999984, 32.9236824914104],[1334851.46800158, 4126196.0, 392.519999999984, 32.9236824914104],[3593758.11879278, 4067506.0, 392.519999999984, 32.9236824914104],[479877235.511024, 3774180.0, 429.599999999985, 32.9236824914104],[4261142.02243137, 4013496.0, 399.679999999974, 32.9823188714005],[1247549.5347779, 4150876.0, 392.519999999984, 32.9236824914104],[1334851.46800158, 4351196.0, 390.319999999983, 32.9236824914104],[1247549.5347779, 4375876.0, 390.319999999983, 32.9236824914104],[1123068.5712589, 4270886.0, 392.119999999984, 32.9236824914104],[1035766.63803522, 4295566.0, 392.119999999984, 32.9236824914104],[439746983.678278, 3782760.0, 429.599999999985, 32.9236824914104],[1123068.5712589, 4495886.0, 389.919999999983, 32.9236824914104],[1914933.43841649, 4096866.0, 399.679999999974, 32.9823188714005],[1035766.63803522, 4520566.0, 389.919999999983, 32.9236824914104],[1026383.73118925, 4770686.0, 389.919999999983, 32.9236824914104],[1012515.70454833, 4772046.0, 389.919999999983, 32.9236824914104],[3523006.26372447, 4025266.0, 399.679999999974, 32.9823188714005],[3849342.63305785, 3619506.0, 502.63999999999, 26.1011103124677],[863091.51819045, 4671086.0, 392.119999999984, 32.9236824914104],[849223.491549523, 4672446.0, 392.119999999984, 32.9236824914104],[3754484.91419224, 3739516.0, 502.239999999992, 20.4225695469514],[1002972.27432469, 4781396.0, 389.919999999983, 32.9236824914104],[3725111.93273507, 3755946.0, 502.239999999989, 20.4225695469514],[477885428.527688, 3777090.0, 429.599999999985, 32.9236824914104],[1176797.67970959, 4108636.0, 399.679999999979, 32.9823188714005],[437755176.694942, 3785670.0, 429.599999999985, 32.9236824914104],[435408968.110927, 3869040.0, 429.599999999985, 32.9236824914104],[434834124.565219, 3980410.0, 427.399999999985, 32.9236824914104],[839680.061325884, 4681796.0, 392.119999999984, 32.9236824914104],[858433.21214527, 4585306.0, 399.679999999974, 32.9823188714005],[3637559.73631517, 3764196.0, 502.239999999989, 21.6488602757493],[439733115.651637, 3784120.0, 429.599999999985, 32.9236824914104],[442054739.129504, 3266070.0, 549.799999999991, 26.1011103124677],[439708530.54549, 3349440.0, 549.799999999991, 26.1011103124677],[50782631.1847656, 3399006.0, 504.83999999999, 18.8452355671802],[48790824.2014288, 3401916.0, 504.83999999999, 26.1011103124677],[881044.237537711, 4798706.0, 389.919999999983, 32.9236824914104],[867176.210896784, 4800066.0, 389.919999999983, 32.9236824914104],[442463833.1117, 3279590.0, 549.799999999991, 21.4640224107896],[929534.92128159, 4554416.0, 392.519999999984, 32.9236824914104],[915666.894640663, 4555776.0, 392.519999999984, 32.9236824914104],[965014.782966914, 4253326.0, 399.279999999974, 32.9823188714005],[929534.92128159, 4779416.0, 390.319999999983, 32.9236824914104],[915666.894640663, 4780776.0, 390.319999999983, 32.9236824914104],[717752.024538913, 4699106.0, 392.119999999984, 32.9236824914104],[703883.997897986, 4700466.0, 392.119999999984, 32.9236824914104],[437741308.668301, 3787030.0, 429.599999999985, 32.9236824914104],[717752.024538913, 4924106.0, 389.919999999983, 32.9236824914104],[7542318.00070052, 3520316.0, 502.63999999999, 20.4225695469514],[8117161.54640862, 3408946.0, 504.83999999999, 18.8452355671802],[703883.997897986, 4925466.0, 389.919999999983, 32.9236824914104],[965014.782966914, 4478326.0, 397.079999999974, 32.9823188714005],[10652379.3520194, 3407586.0, 504.83999999999, 21.4640224107896],[778379.266901418, 4654886.0, 399.279999999974, 32.9823188714005],[435395100.084286, 3870400.0, 429.599999999985, 32.9236824914104],[2059251.55241234, 4043456.0, 502.63999999999, 26.1011103124677],[5770952.96239374, 3492316.0, 504.83999999999, 18.8452355671802],[848157.458595376, 4808596.0, 389.919999999983, 32.9236824914104],[834289.431954449, 4809956.0, 389.919999999983, 32.9236824914104],[896648.142339254, 4564306.0, 392.519999999984, 32.9236824914104],[882780.115698328, 4565666.0, 392.519999999984, 32.9236824914104],[437166465.122594, 3898400.0, 427.399999999985, 32.9236824914104],[6125354.56307179, 3411856.0, 504.83999999999, 26.1011103124677],[896648.142339254, 4789306.0, 390.319999999983, 32.9236824914104],[882780.115698328, 4790666.0, 390.319999999983, 32.9236824914104],[646650.315402594, 4729996.0, 399.279999999974, 32.9823188714005],[684865.245596578, 4708996.0, 392.119999999984, 32.9236824914104],[46570322.6703925, 4720806.0, 383.919999999982, 32.9823188714005],[670997.218955651, 4710356.0, 392.119999999984, 32.9236824914104],[3779145.97905691, 3495226.0, 504.83999999999, 26.1011103124677],[8087788.56495145, 3425376.0, 504.83999999999, 18.8452355671802],[3578082.03962434, 3903256.0, 502.23999999999, 22.7226596220331],[684865.245596578, 4933996.0, 389.919999999983, 32.9236824914104],[434820256.538578, 3981770.0, 427.399999999985, 32.9236824914104],[5741579.98093657, 3508746.0, 504.83999999999, 18.8452355671802],[670997.218955651, 4935356.0, 389.919999999983, 32.9236824914104],[440117624.527685, 3362960.0, 549.799999999997, 21.4640224107896],[661546.158311812, 5121266.0, 392.119999999984, 32.9236824914104],[661546.158311812, 5346266.0, 389.919999999983, 32.9236824914104],[6095981.58161461, 3428286.0, 504.83999999999, 26.1011103124677],[861987.214235276, 4803316.0, 389.919999999983, 32.9236824914104],[910477.897979155, 4559026.0, 392.519999999984, 32.9236824914104],[910477.897979155, 4784026.0, 390.319999999983, 32.9236824914104],[441509471.057987, 3289200.0, 549.799999999991, 21.6488602757493],[698695.001236479, 4703716.0, 392.119999999984, 32.9236824914104],[3749772.99759974, 3511656.0, 504.83999999999, 26.1011103124677],[8000236.36853156, 3433626.0, 504.83999999999, 21.6488602757493],[440472026.128363, 3282500.0, 549.799999999991, 26.1011103124677],[438125817.544348, 3365870.0, 549.799999999991, 26.1011103124677],[437079163.189369, 3923080.0, 427.399999999985, 32.9236824914104],[698695.001236479, 4928716.0, 389.919999999983, 32.9236824914104],[5654027.78451668, 3516996.0, 504.83999999999, 21.6488602757493],[6008429.38519472, 3436536.0, 504.83999999999, 26.1011103124677],[5196109.41668564, 3603686.0, 502.63999999999, 20.4225695469514],[5550511.01736369, 3523226.0, 502.63999999999, 26.1011103124677],[646650.315402594, 4954996.0, 397.079999999974, 32.9823188714005],[437017040.936235, 3797440.0, 429.599999999986, 32.9236824914104],[3662220.80117985, 3519906.0, 504.83999999999, 26.1011103124677],[434670832.35222, 3880810.0, 429.599999999985, 32.9236824914104],[3661856.14452273, 3701166.0, 504.83999999999, 26.1011103124677],[50782631.1847656, 3624006.0, 502.63999999999, 18.8452355671802],[437003172.909594, 3798800.0, 429.599999999985, 32.9236824914104],[434656964.325579, 3882170.0, 429.599999999985, 32.9236824914104],[436915870.97637, 3823480.0, 429.599999999985, 32.9236824914104],[656357.161650304, 5554096.0, 392.119999999984, 32.9236824914104],[8117161.54640862, 3633946.0, 502.63999999999, 18.8452355671802],[44224114.0863776, 4804176.0, 383.919999999982, 32.9823188714005],[434569662.392356, 3906850.0, 429.599999999985, 32.9236824914104],[656357.161650304, 5779096.0, 389.919999999983, 32.9236824914104],[4519867.88678332, 3654986.0, 504.43999999999, 21.4640224107896]}
rio_de_janeiro_50;gecode;greedy;1;256;128;3600;mosaic_cloud3;False;0.0;2023-05-02 13:55:21.008003;1;10409795;3602.0166649999996;20.08985;[11.91038];{[317232.124582491, 16541264.0, 382.920000000006, 32.9823188714005]}
