Execution time,5940.005583047867
Selected Images,Cost,Cloud Coverage,Resolution,Incidence Angle
"[2, 7, 13, 15, 17, 19, 21, 22, 23, 28]",5206730.0,161500.0,29.2
"[2, 7, 11, 13, 15, 17, 19, 22, 23, 28]",5251730.0,160820.0,28.9
"[2, 7, 11, 13, 15, 17, 19, 21, 22, 23, 28]",5581130.0,160420.0,29.2
"[2, 7, 9, 11, 13, 15, 17, 19, 21, 22, 23, 28]",5957330.0,160360.0,29.2
"[2, 5, 7, 9, 11, 13, 15, 17, 19, 21, 22, 23, 28]",6355130.0,160340.0,29.2
"[7, 15, 22]",2669540.0,237500.0,28.9
"[7, 15, 22, 28]",2790140.0,236700.0,28.9
"[2, 7, 15, 22]",2886854.0,236300.0,28.9
"[2, 7, 15, 22, 28]",3007454.0,235500.0,28.9
"[3, 7, 15, 22]",3042140.0,219900.0,28.9
"[7, 15, 22, 27]",3043940.0,213500.0,28.9
"[7, 9, 15, 22]",3045740.0,205300.0,28.9
"[7, 8, 15, 22]",3054740.0,199100.0,28.9
"[7, 15, 17, 22]",3119540.0,180700.0,28.9
"[7, 15, 17, 22, 28]",3240140.0,179900.0,28.9
"[2, 7, 15, 17, 22]",3336854.0,179500.0,28.9
"[2, 7, 15, 17, 22, 28]",3457454.0,178700.0,28.9
"[7, 11, 15, 17, 22]",3493940.0,178500.0,28.9
"[7, 9, 15, 17, 22]",3495740.0,178300.0,28.9
"[7, 15, 17, 19, 22]",3495740.0,171300.0,28.9
"[7, 15, 17, 22, 23]",3574940.0,170300.0,28.9
"[7, 15, 17, 22, 23, 28]",3695540.0,169500.0,28.9
"[2, 7, 15, 17, 22, 23]",3792254.0,169100.0,28.9
"[2, 7, 15, 17, 22, 23, 28]",3912854.0,168300.0,28.9
"[7, 11, 15, 17, 22, 23]",3949340.0,168100.0,28.9
"[7, 15, 17, 19, 22, 23]",3951140.0,167500.0,28.9
"[7, 11, 15, 17, 22, 23, 28]",4069940.0,167300.0,28.9
"[7, 15, 17, 19, 22, 23, 28]",4071740.0,166700.0,28.9
"[7, 13, 15, 17, 19, 22]",4084016.0,165900.0,28.9
