experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
68,9-7-23-0-16-5-24-3-12-15-26-4-28-29-17-8-22-25-19-20,0-3-4-5-7-8-9-12-15-16-17-19-20-22-23-24-25-26-28-29,20,30486.116997082398,6.179458408240757,0.0,0.0
69,21-29-24-9-0-7-15-4-13-25-19-20-16-26,0-4-7-9-13-15-16-19-20-21-24-25-26-29,14,24038.749318334965,4.872593371369436,0.0,0.0
70,28-15-7-1-22-26-18-27-11-6-10-20-17-19,1-6-7-10-11-15-17-18-19-20-22-26-27-28,14,22098.91599479049,4.479394088466017,0.0,0.0
71,15-26-11-19-25-0-4-7-29-6-10-20,0-4-6-7-10-11-15-19-20-25-26-29,12,21030.33166420314,4.26279476139546,0.0,0.0
72,1-5-10-4-28-27-26-17-24-18-25-0-22-19-8-20,0-1-4-5-8-10-17-18-19-20-22-24-25-26-27-28,16,22797.16762285781,4.620927918259472,0.0,0.0
73,23-9-2-7-6-24-26-19-16-20,2-6-7-9-16-19-20-23-24-26,10,19234.97447807305,3.8988804242337674,0.0,0.0
74,4-16-17-24-23-3-2-26-1-6-0-19-8-12-29-25-20,0-1-2-3-4-6-8-12-16-17-19-20-23-24-25-26-29,17,26202.018377819077,5.31108250989093,0.0,0.0
75,20-26-11-9-19,9-11-19-20-26,5,12672.581512221088,2.568700054103493,0.0,0.0
76,7-21-20-19-9-26,7-9-19-20-21-26,6,14365.253095249298,2.911800280581496,0.0,0.0
77,4-0-2-26-28-10-5-7-6-22-19-29-8-27-24-25-20,0-2-4-5-6-7-8-10-19-20-22-24-25-26-27-28-29,17,25000.934214276556,5.067625803544303,0.0,0.0
78,18-7-5-17-12-1-4-19-11-0-9-20-10-26,0-1-4-5-7-9-10-11-12-17-18-19-20-26,14,21238.185849317346,4.304926276275329,0.0,0.0
79,28-0-14-6-24-12-19-25-16-20-26,0-6-12-14-16-19-20-24-25-26-28,11,19270.610145806433,3.90610368348418,0.0,0.0
80,28-13-23-26-2-9-16-4-15-22-17-24-20-19,2-4-9-13-15-16-17-19-20-22-23-24-26-28,14,23035.638926598724,4.669265445244852,0.0,0.0
81,19-2-4-21-11-23-24-29-0-10-8-25-26-20,0-2-4-8-10-11-19-20-21-23-24-25-26-29,14,21842.720480646247,4.4274639090934285,0.0,0.0
82,6-2-26-8-0-13-24-21-12-19-10-29-25-20,0-2-6-8-10-12-13-19-20-21-24-25-26-29,14,21878.451620860986,4.434706520373084,0.0,0.0
83,12-2-1-3-19-8-27-25-24-26-20,1-2-3-8-12-19-20-24-25-26-27,11,18818.79922360388,3.8145227582254213,0.0,0.0
84,1-14-19-21-23-8-24-29-12-25-9-10-2-26-20,1-2-8-9-10-12-14-19-20-21-23-24-25-26-29,15,23163.435507044363,4.695169487194661,0.0,0.0
85,16-4-25-15-26-13-0-28-8-5-19-24-20,0-4-5-8-13-15-16-19-20-24-25-26-28,13,20694.54798662068,4.194732263636709,0.0,0.0
86,19-15-3-9-29-0-26-25-8-20,0-3-8-9-15-19-20-25-26-29,10,19101.87673601478,3.871901850302605,0.0,0.0
87,1-6-21-3-0-2-4-29-26-22-12-28-25-24-19-20,0-1-2-3-4-6-12-19-20-21-22-24-25-26-28-29,16,24632.569067079316,4.99295912472887,0.0,0.0
88,12-13-5-1-20-16-26-22-19,1-5-12-13-16-19-20-22-26,9,16368.755945347477,3.317905214645692,0.0,0.0
89,18-4-20-11-6-28-17-3-22-16-27-19-26,3-4-6-11-16-17-18-19-20-22-26-27-28,13,22193.335517161806,4.498532685601078,0.0,0.0
90,15-16-26-20-5-19,5-15-16-19-20-26,6,14565.034797490182,2.952295523706202,0.0,0.0
91,2-10-25-27-16-13-4-28-5-26-22-24-0-15-19-8-20,0-2-4-5-8-10-13-15-16-19-20-22-24-25-26-27-28,17,24813.188731540537,5.029570271512678,0.0,0.0
92,15-14-1-17-26-24-3-29-19-0-8-25-20,0-1-3-8-14-15-17-19-20-24-25-26-29,13,21073.287604404723,4.271501821264317,0.0,0.0
93,1-23-26-0-12-6-13-8-16-4-3-7-24-28-25-22-20-19,0-1-3-4-6-7-8-12-13-16-19-20-22-23-24-25-26-28,18,26587.02680311358,5.389122738863263,0.0,0.0
94,11-12-6-17-0-22-26-3-28-29-8-27-20-19,0-3-6-8-11-12-17-19-20-22-26-27-28-29,14,22430.31924254743,4.546568684235819,0.0,0.0
95,0-15-2-17-8-29-27-10-4-19-26-20,0-2-4-8-10-15-17-19-20-26-27-29,12,20435.282575185392,4.142179823888049,0.0,0.0
96,13-0-12-5-9-26-28-22-20-19,0-5-9-12-13-19-20-22-26-28,10,16898.875252905065,3.4253590505268248,0.0,0.0
97,3-15-27-20-5-16-22-17-28-19-26,3-5-15-16-17-19-20-22-26-27-28,11,20376.703366907932,4.13030596730038,0.0,0.0
98,5-7-18-26-25-3-15-28-27-4-19-24-1-8-20,1-3-4-5-7-8-15-18-19-20-24-25-26-27-28,15,23276.115687293586,4.718009473256179,0.0,0.0
99,27-28-11-22-1-7-13-21-24-0-20-16-17-19-26,0-1-7-11-13-16-17-19-20-21-22-24-26-27-28,15,22507.193694528094,4.562150940208801,0.0,0.0
100,28-5-4-23-22-12-16-7-24-20-19-26,4-5-7-12-16-19-20-22-23-24-26-28,12,21072.807998204426,4.271404606306854,0.0,0.0
