experiment_id,images_id,images_id_sorted,number_of_images,area_of_images_km2,area_of_images_over_aoi,overlapping_area_inside_aoi,total_cost_of_images
86,12-23-13-21-3-19-2-10-28-17-8-11-20-16-6-15,2-3-6-8-10-11-12-13-15-16-17-19-20-21-23-28,16,7757.386192673128,4.675907931801489,0.0,0.0
87,25-16-18-23-19-17-27-9-15-2-11-1-12-20-6,1-2-6-9-11-12-15-16-17-18-19-20-23-25-27,15,7405.362994740596,4.463719441695694,0.0,0.0
88,3-24-1-8-21-18-5-12-7-20-4-25-10-16-9-15-11-19-6,1-3-4-5-6-7-8-9-10-11-12-15-16-18-19-20-21-24-25,19,8793.755568714261,5.300598731685079,0.0,0.0
89,6-29-21-2-4-5-3-9-20-10-23-8-7-25-11-16-15,2-3-4-5-6-7-8-9-10-11-15-16-20-21-23-25-29,17,7963.911923163374,4.800395133719132,0.0,0.0
90,4-27-9-8-24-23-20-13-19-0-11-2-3-25-17-16-12-21-1-15-6,0-1-2-3-4-6-8-9-11-12-13-15-16-17-19-20-21-23-24-25-27,21,9316.760984215329,5.615849914232413,0.0,0.0
91,4-0-2-6-19-1-27-5-14-21-7-15-9-16-20-8-25-11,0-1-2-4-5-6-7-8-9-11-14-15-16-19-20-21-25-27,18,8185.488433426635,4.933954471375861,0.0,0.0
92,22-13-19-29-21-3-7-23-8-18-12-15-5-6-10-11-16-20,3-5-6-7-8-10-11-12-13-15-16-18-19-20-21-22-23-29,18,8197.678882551207,4.941302489940109,0.0,0.0
93,1-11-20-6-24-12-29-21-4-23-0-3-7-10-2-15-16,0-1-2-3-4-6-7-10-11-12-15-16-20-21-23-24-29,17,7894.622899786165,4.7586298939915705,0.0,0.0
94,23-19-1-6-29-0-21-10-3-7-8-12-16-2-11-20-15,0-1-2-3-6-7-8-10-11-12-15-16-19-20-21-23-29,17,8214.704450640393,4.95156496584299,0.0,0.0
95,23-17-21-8-27-4-16-1-18-11-2-15-6-20,1-2-4-6-8-11-15-16-17-18-20-21-23-27,14,6978.475501497845,4.206405113639429,0.0,0.0
96,25-6-14-23-17-19-3-1-15-7-20-16-11,1-3-6-7-11-14-15-16-17-19-20-23-25,13,6111.859430330935,3.684036256353023,0.0,0.0
97,4-28-12-26-9-23-11-10-16-18-20-2-6-15,2-4-6-9-10-11-12-15-16-18-20-23-26-28,14,6951.417178752474,4.190095209400572,0.0,0.0
98,20-28-13-0-9-23-21-1-27-15-3-6-10-7-25-4-19-11-16,0-1-3-4-6-7-9-10-11-13-15-16-19-20-21-23-25-27-28,19,8886.51330794768,5.35651017374106,0.0,0.0
99,14-9-1-23-4-6-10-5-8-2-0-29-19-15-16-25-11-20,0-1-2-4-5-6-8-9-10-11-14-15-16-19-20-23-25-29,18,8603.908969779635,5.186165184645433,0.0,0.0
100,9-22-20-14-19-13-23-1-10-8-15-3-29-2-12-21-25-7-18-6-16-11,1-2-3-6-7-8-9-10-11-12-13-14-15-16-18-19-20-21-22-23-25-29,22,10177.562508220804,6.134713945728701,0.0,0.0
